493	194
528	893
405	310
856	441
909	167
910	90
865	961
368	277
802	511
88	701
364	894
776	918
5	369
407	340
448	145
241	358
641	345
381	421
148	84
48	267
702	971
656	498
341	807
211	258
508	943
693	309
510	399
903	747
843	277
517	246
520	177
480	857
785	768
978	922
34	333
265	168
371	901
434	43
321	693
55	943
481	914
723	964
528	197
417	574
118	97
597	243
433	978
658	838
230	860
195	720
994	477
629	797
222	904
305	90
169	855
672	209
855	692
926	502
72	636
929	162
467	25
475	545
249	138
491	634
654	25
731	482
177	184
602	174
789	849
696	635
89	185
114	155
554	81
180	79
608	585
491	835
765	408
165	507
874	588
767	24
716	10
774	278
755	883
914	21
604	148
108	338
44	576
977	178
748	780
54	779
301	990
667	358
177	323
20	372
448	108
762	12
388	996
353	663
588	369
882	472
29	44
129	499
935	158
425	561
291	481
875	165
451	353
637	335
57	925
551	538
9	118
793	179
75	18
368	384
528	165
703	35
990	886
898	354
558	281
670	797
203	438
196	67
397	365
693	136
595	627
863	735
439	174
22	120
740	274
678	527
210	37
124	225
330	133
884	611
597	156
564	905
374	5
240	655
968	870
231	815
418	625
355	736
776	753
942	632
995	518
927	566
24	308
876	926
365	222
162	418
751	763
591	169
258	546
393	110
760	528
263	192
715	379
797	921
613	385
333	462
324	290
536	458
748	223
173	951
604	109
840	458
770	202
324	594
434	299
667	229
369	911
945	814
841	556
609	126
461	492
839	918
380	587
373	751
2	280
625	975
418	78
507	481
744	469
741	183
738	610
171	558
919	136
569	669
792	817
476	3
843	805
505	989
118	525
945	785
88	93
102	251
939	708
7	713
366	385
791	996
919	900
236	534
429	501
164	898
996	525
313	548
458	544
501	374
950	116
809	692
152	976
655	710
499	276
759	359
503	425
278	622
924	460
619	145
721	796
372	552
729	893
5	661
335	537
648	30
737	259
16	4
695	415
863	308
183	961
888	224
329	224
695	185
813	751
596	946
733	720
422	228
908	349
124	58
686	629
943	864
89	607
371	5
289	261
588	578
554	376
893	822
470	876
564	951
966	760
130	903
917	917
838	985
96	801
841	270
162	606
60	297
572	363
21	339
210	695
153	139
864	69
707	566
715	249
955	647
28	45
402	819
287	128
593	27
242	660
825	703
169	138
924	492
270	476
859	65
413	31
50	940
958	179
366	252
388	449
926	602
498	184
943	169
997	651
889	487
629	818
255	255
405	100
660	229
81	62
665	269
71	699
891	104
599	535
769	452
628	369
963	262
652	325
781	711
236	932
499	912
557	329
487	691
635	912
790	152
555	628
409	521
676	133
248	507
383	437
520	561
401	262
636	582
927	738
361	23
296	805
972	507
886	907
63	888
390	338
696	827
392	12
786	83
536	123
316	146
298	752
744	865
237	395
255	135
758	505
599	462
893	700
742	835
364	157
8	344
676	630
37	887
74	223
710	125
79	904
413	456
349	830
740	791
173	907
742	348
757	118
882	768
134	724
879	756
116	138
969	520
423	25
360	578
935	180
753	580
772	56
590	370
587	424
801	294
476	229
503	802
824	86
743	306
977	650
617	995
561	63
555	492
708	117
623	679
290	597
144	12
148	559
379	155
208	557
683	675
752	450
220	476
116	565
529	141
624	24
938	939
496	464
61	320
199	352
20	707
415	454
639	281
219	650
64	159
945	919
181	931
243	855
531	831
780	415
861	56
880	532
172	257
308	952
280	847
68	501
13	505
539	277
73	655
517	316
785	987
41	730
660	832
162	521
743	357
956	983
159	670
980	240
469	208
761	508
627	863
246	32
901	630
617	700
787	473
637	168
707	930
652	516
91	191
273	10
724	205
249	666
530	107
729	746
415	125
987	840
832	930
90	990
424	957
237	192
616	373
129	900
128	313
998	551
286	908
91	792
893	864
350	27
266	410
284	93
392	474
326	383
587	750
980	705
193	730
956	484
517	246
51	891
901	667
940	287
459	91
102	398
568	452
655	568
108	385
367	701
27	150
911	78
945	965
384	614
278	650
944	269
53	463
232	442
550	117
433	873
99	480
68	656
168	349
512	346
115	834
486	15
211	338
449	785
430	77
914	370
674	936
999	311
220	245
731	523
343	18
281	817
5	126
586	835
537	206
462	384
140	579
47	861
150	676
105	363
485	280
437	184
633	840
989	653
432	181
522	268
309	438
65	99
322	731
620	521
959	891
628	196
131	574
996	533
95	872
465	745
114	171
534	804
175	375
308	172
131	297
151	327
666	486
307	314
873	938
573	288
750	449
342	643
979	864
186	818
930	17
479	190
858	26
9	90
808	601
354	239
737	990
199	562
91	605
525	675
660	582
514	203
730	531
401	208
441	653
397	271
683	723
718	608
185	241
746	223
728	73
722	364
351	688
845	712
860	703
515	746
711	12
303	549
791	253
536	648
8	9
241	571
181	483
851	576
234	755
972	789
987	203
889	717
136	483
343	989
10	377
167	866
591	137
208	157
585	228
999	423
148	352
321	567
750	76
793	733
850	582
812	226
973	779
322	454
41	203
599	894
79	614
175	832
647	767
905	692
196	611
10	441
555	982
978	72
993	627
588	449
668	317
62	545
26	934
665	221
566	43
850	525
41	763
671	263
988	635
261	103
860	679
430	937
702	502
584	939
378	226
504	929
973	459
30	174
